Event.ID	Disease	Serotype	Diagnosis.source	Diagnosis.status	Animal.type	Species	Observation.date..dd.mm.yyyy.	Report.date..dd.mm.yyyy.	Humans.affected	Human.deaths	Latitude	Longitude	Original location	Country	Admin. level 1	Locality	Country OSM ID	Admin. level 1 OSM ID	Locality OSM ID
265642	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	18/02/2020	25/02/2020			20.8978	105.6488							
265248	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Chicken	06/02/2020	12/02/2020			23.626538	120.532122							
263825	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Turkey	15/01/2020	22/01/2020			47.68622	17.987319							
262551	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Duck	18/11/2019	10/12/2019			23.70148	120.259075							
263744	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Ostrich	30/10/2019	20/01/2020			-33.5	22.2							
262223	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Ostrich	14/10/2019	11/12/2019			-34.2	20.9							
262693	Influenza - Avian	H5N2 LPAI	OIE	Confirmed	Domestic	Chicken	24/06/2019	19/12/2019			19.339717	-70.479153							
251544	Influenza - Avian	H7N3 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/04/2019	16/04/2019			19.878863	-99.554658							
252037	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Chicken	08/04/2019	26/04/2019			23.8743	120.4437							
254511	Influenza - Avian	H3 LPAI	National authorities	Confirmed	Domestic	Chicken	31/01/2019	14/06/2019			51.247127	4.689417							
240023	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Wild	Mallard	27/08/2018	11/09/2018			55.209145	11.187172							
239017	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	09/08/2018	16/08/2018			58.951231	46.514801							
237672	Influenza - Avian	H5 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	20/06/2018	27/06/2018			52.434961	45.73404							
236976	Influenza - Avian	H5N8 HPAI	EC	Confirmed	Domestic	Duck	23/05/2018	25/05/2018			43.494444	27.856944							
237075	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Goose	16/05/2018	28/05/2018			23.677665	120.265872							
236690	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Wild	Mute Swan  (Cygnus Olor)	11/04/2018	15/05/2018			55.0959	10.2596							
237038	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Wild	White Tailed Eagle (Haliaeetus Albicilla)	06/04/2018	05/06/2018			58.82476	16.887975							
235218	Influenza - Avian	H5N6 HPAI	National authorities	Confirmed	Wild	Black Headed Gull (Chroicocephalus Ridibundus)	23/03/2018	28/03/2018			48.157452	17.615443							
235214	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Captive	Swan	11/03/2018	27/03/2018			-25.6	27.7							
234510	Influenza - Avian		OIE	Confirmed	Wild	Unspecified Bird	29/01/2018	21/02/2018			-34.1	18.4							
233632	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	15/01/2018	29/01/2018			33.3531	44.3531							
233405	Influenza - Avian	H5N2 HPAI	National authorities	Confirmed	Domestic	Chicken	14/01/2018	16/01/2018			23.601248	120.826967							
233134	Influenza - Avian	H5N8 HPAI	National authorities	Confirmed	Domestic	Unspecified Bird	06/01/2018	13/01/2018			25.431749	45.817622							
232871	Influenza - Avian	H5N6 HPAI	National authorities	Confirmed	Domestic	Chicken	02/01/2018	03/01/2018			38.109567	127.302915							
233500	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Wild	Swift Tern (Thalasseus Bergii)	30/12/2017	22/01/2018			-34	18.4							
232810	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	21/12/2017	02/01/2018			24.14	47.311							
232519	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Ostrich	11/10/2017	08/12/2017			-33.4	22.2							
232538	Influenza - Avian	H5N1 HPAI	National authorities	Confirmed	Domestic	Chicken	03/10/2017	11/12/2017			-7.3164	109.3208099							
231026	Influenza - Avian	H5N6 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	23/09/2017	27/09/2017			14.506	107.9953							
230414	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Chicken	15/08/2017	22/08/2017			23.761503	120.245481							
230286	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Goose	03/08/2017	10/08/2017			45.137998	9.506145							
230412	Influenza - Avian	H5N2 HPAI	OIE	Confirmed	Domestic	Duck	24/07/2017	07/08/2017			23.846712	120.305994							
228471	Influenza - Avian	H5N8 HPAI	OIE	Confirmed	Domestic	Unspecified Bird	07/06/2017	12/06/2017			35.949058	126.928332							
